LEA,Charter School,type,in FY14,charter,stration,leadership,teachers,services,elopment,equip & tech,& testing,services,maintenance,& other 1,aggregate,per pupil
466,Martha's Vineyard Public Charter School,C,West Tisbury,173.02,1909.25,1068.13,9404.28,4307.12,88.50,267.05,1072.43,2602.31,1754.87,9286.50,5495191.00,31760.44
3507,City On A Hill Charter Public School New Bedford,C,New Bedford,102.62,2111.55,4082.44,4114.77,1208.66,262.49,841.77,887.86,2495.12,2234.40,9088.88,2804393.64,27327.94
437,City on a Hill Charter Public School Circuit Street,C,Boston,216.34,5441.41,2862.52,4304.31,677.33,110.49,335.61,551.67,1286.86,2700.48,8410.14,5772128.35,26680.82
438,Codman Academy Charter Public School,C,Boston,339.91,1778.24,3558.18,7364.64,2169.55,457.19,1221.72,650.76,2193.27,910.01,5927.83,8916310.12,26231.39
417,Bridge Boston Charter School,C,Boston,335.49,4355.07,1284.49,6986.85,2263.21,114.28,1187.82,622.90,1875.40,1063.28,5896.13,8605127.00,25649.43
452,Edward M. Kennedy Academy for Health Careers:  A HMCPS,HM,Boston,377.81,3672.69,795.17,9326.83,862.50,1221.02,793.01,2436.49,3274.56,7.54,2930.91,9566427.00,25320.73
493,"Phoenix Academy Charter Public High School, Chelsea",C,Chelsea,199.26,12178.04,3000.42,4144.77,536.03,0.00,1066.10,16.10,634.74,974.32,1970.39,4886034.00,24520.90
436,Community Charter School of Cambridge,C,Cambridge,318.94,2608.08,2117.09,8104.18,698.63,707.49,631.18,806.99,1236.43,1253.30,6349.76,7818221.00,24513.14
416,Boston Preparatory Charter Public School,C,Boston,575.74,2200.15,2475.35,5884.37,1000.33,284.51,1132.18,1136.47,2852.43,1136.42,6183.73,13982383.45,24285.93
420,Benjamin Banneker Charter Public School,C,Cambridge,335.76,2985.50,2030.86,4611.05,2833.28,490.91,686.84,218.40,3671.57,1022.36,5655.89,8127629.18,24206.66
481,Boston Renaissance Charter Public School,C,Boston,941.13,2284.70,607.33,6530.97,2436.67,523.87,254.42,540.64,2331.46,1000.94,6387.24,21550231.00,22898.25
469,Match Charter Public School,C,Boston,1216.25,1532.12,3135.92,6537.48,1415.16,260.38,641.79,848.14,1820.41,1130.18,5450.90,27697033.00,22772.48
444,Neighborhood House Charter School,C,Boston,709.07,2816.40,1168.33,6499.55,1112.08,356.78,246.89,1508.63,1965.57,1730.86,4999.57,15886474.00,22404.66
3504,City on a Hill Charter Public School Dudley Square,C,Boston,188.13,2543.37,2519.43,5130.30,691.71,156.86,365.34,506.20,1355.30,2184.95,6900.43,4205439.57,22353.90
449,Boston Collegiate Charter School,C,Boston,700.00,2417.40,1908.07,7400.26,513.25,138.76,546.65,1141.87,1435.05,1354.51,5251.44,15475088.71,22107.27
458,Lowell Middlesex Academy Charter School,C,Lowell,97.11,2796.49,2619.49,8307.97,0.00,45.66,229.68,174.40,918.16,2256.10,4237.58,2096169.57,21585.52
487,Prospect Hill Academy Charter School,C,"Somerville (K-6);   
Cambridge (7-12)",1098.44,2681.49,1897.77,6381.15,1616.05,141.01,837.06,497.73,619.42,821.11,5839.35,23432074.00,21332.14
498,Veritas Preparatory Charter School,C,Springfield,370.25,2048.60,1841.15,6663.15,216.69,313.24,1005.95,1133.86,2267.85,921.22,4604.47,7781240.75,21016.18
412,Academy of the Pacific Rim Charter Public School,C,Boston,536.10,2035.32,2054.37,6146.27,1233.80,105.87,714.44,666.93,1696.69,767.53,5166.68,11037174.88,20587.90
428,Brooke Charter School,C,Boston,1970.67,953.53,2309.77,6691.41,901.17,48.07,1082.66,367.99,2090.53,1622.04,4513.23,40557158.26,20580.39
419,Helen Y Davis Leadership Academy Charter Public School,C,Boston,201.53,1951.92,1350.91,7608.04,584.02,131.06,409.90,500.68,1670.63,801.26,5160.90,4064727.00,20169.34
480,UP Academy Charter School of Boston,HM,Boston,408.12,1603.11,2501.08,7409.42,613.66,96.86,723.37,663.06,2307.40,1414.03,2611.40,8139362.58,19943.38
484,Roxbury Preparatory Charter School,C,Boston,1536.84,2323.80,2111.89,4850.90,2144.37,604.29,529.59,542.57,666.18,1364.41,4404.66,30033935.33,19542.66
432,Cape Cod Lighthouse Charter School,C,Harwich,242.78,1286.76,548.08,7492.81,1887.87,139.49,531.30,427.79,565.62,412.39,6231.90,4740041.42,19524.02
3514,Libertas Academy Charter School,C,Springfield,259.71,2736.08,294.35,5573.17,1856.23,470.40,1367.53,828.59,1978.15,375.82,3743.64,4992659.01,19223.98
418,Christa McAuliffe Charter School,C,Framingham,396.27,2063.16,1085.71,6800.43,590.66,26.61,384.86,123.03,2017.31,510.36,5433.16,7543119.00,19035.30
413,Four Rivers Charter Public School,C,Greenfield,215.96,1819.02,1523.74,6632.59,573.20,200.70,742.30,690.65,550.11,724.33,5469.77,4087350.00,18926.42
407,Dudley Street Neighborhood Charter School,HM,Boston,265.54,3344.24,719.57,6635.23,1117.12,59.08,447.28,0.00,2168.47,1146.21,3274.84,5021878.70,18912.03
497,Pioneer Valley Chinese Immersion Charter School,C,Hadley,535.57,2165.18,1070.97,7841.98,472.91,0.56,424.96,437.14,831.07,540.62,5047.49,10086320.55,18832.87
410,Excel Academy Charter School,C,Boston/Chelsea,1355.16,1489.05,2581.61,5501.07,665.90,222.22,818.09,866.69,1330.13,745.79,4352.61,25169602.93,18573.16
478,Francis W. Parker Charter Essential School,C,Devens,396.48,1707.78,1817.47,6068.40,55.16,323.46,791.14,522.76,1028.59,1155.40,5052.39,7343823.23,18522.56
492,"Martin Luther King, Jr. Charter School of Excellence",C,Springfield,363.61,1397.65,787.07,6937.37,984.44,99.13,192.13,180.35,1828.55,1002.44,5099.46,6729911.07,18508.60
424,Boston Day and Evening Academy Charter School,HM,Boston,397.88,1072.02,1722.66,7283.12,2321.35,120.10,314.84,277.55,1119.79,1329.21,2801.23,7305873.76,18361.86
485,Salem Academy Charter School,C,Salem,492.15,2118.02,1298.07,6139.58,878.96,104.39,240.43,839.98,840.52,995.70,4790.28,8979734.51,18245.93
439,Conservatory Lab Charter School,C,Boston,452.81,2387.98,256.78,6004.36,2028.93,57.68,537.36,158.82,3225.35,751.13,2813.02,8250841.73,18221.42
479,Pioneer Valley Performing Arts Charter Public School,C,South Hadley,396.93,1772.92,1109.79,5500.26,1002.31,166.84,330.44,691.92,951.52,1048.44,5538.85,7189709.38,18113.29
3501,Paulo Freire Social Justice Charter School,C,Holyoke,279.62,2125.49,1716.90,4467.99,1185.70,95.99,231.99,754.89,2374.66,713.09,4441.93,5063534.52,18108.63
429,KIPP Academy Lynn Charter School,C,Lynn,1594.98,2735.90,1982.20,4414.54,733.70,410.32,926.08,668.16,1258.20,871.75,4048.60,28788516.60,18049.45
474,"Sizer School, A North Central Charter Essential School",C,Fitchburg,358.85,1617.72,1002.18,5951.49,684.47,38.08,213.58,1235.44,1705.13,1095.31,4478.77,6467251.75,18022.16
3518,"Phoenix Academy Charter Public High School, Lawrence",C,Lawrence,150.01,4501.69,2962.73,5436.47,7.52,0.00,633.26,311.73,327.70,248.73,3517.22,2692237.20,17947.05
463,KIPP Academy Boston Charter School,C,Boston,595.21,809.35,1774.36,4841.12,1220.81,624.03,854.98,542.40,2204.82,1052.74,4012.52,10676360.00,17937.13
414,Berkshire Arts and Technology Charter Public School,C,Adams,364.37,1980.76,1884.13,4984.10,731.08,216.02,460.89,503.19,1913.35,964.35,4276.07,6527304.39,17913.95
3502,Baystate Academy Charter Public School,C,Springfield,473.71,1292.16,1136.65,5720.41,842.20,740.56,508.19,460.25,2386.52,571.37,4230.50,8474107.79,17888.81
3517,Map Academy Charter School,C,Plymouth,162.50,4016.29,1607.76,4990.40,1877.57,138.09,378.85,21.08,947.94,694.99,3205.88,2905314.23,17878.86
