Charter School,City,Latitude,Longitude,per pupil
Martha's Vineyard Public Charter School,"West Tisbury, MA",41.3812245,-70.6744723,31760.44
City On A Hill Charter Public School New Bedford,"New Bedford, MA",41.6362152,-70.934205,27327.94
City on a Hill Charter Public School Circuit Street,"Boston, MA",42.3600825,-71.0588801,26680.82
Codman Academy Charter Public School,"Boston, MA",42.3600825,-71.0588801,26231.39
Bridge Boston Charter School,"Boston, MA",42.3600825,-71.0588801,25649.43
Edward M. Kennedy Academy for Health Careers:  A HMCPS,"Boston, MA",42.3600825,-71.0588801,25320.73
"Phoenix Academy Charter Public High School, Chelsea","Chelsea, MA",42.3917638,-71.0328284,24520.9
Community Charter School of Cambridge,"Cambridge, MA",42.3736158,-71.1097335,24513.14
Boston Preparatory Charter Public School,"Boston, MA",42.3600825,-71.0588801,24285.93
Benjamin Banneker Charter Public School,"Cambridge, MA",42.3736158,-71.1097335,24206.66
Boston Renaissance Charter Public School,"Boston, MA",42.3600825,-71.0588801,22898.25
Match Charter Public School,"Boston, MA",42.3600825,-71.0588801,22772.48
Neighborhood House Charter School,"Boston, MA",42.3600825,-71.0588801,22404.66
City on a Hill Charter Public School Dudley Square,"Boston, MA",42.3600825,-71.0588801,22353.9
Boston Collegiate Charter School,"Boston, MA",42.3600825,-71.0588801,22107.27
Lowell Middlesex Academy Charter School,"Lowell, MA",42.6334247,-71.3161718,21585.52
Prospect Hill Academy Charter School,"Somerville, MA",42.3875968,-71.0994968,21332.14
Veritas Preparatory Charter School,"Springfield, MA",42.1014831,-72.589811,21016.18
Academy of the Pacific Rim Charter Public School,"Boston, MA",42.3600825,-71.0588801,20587.9
Brooke Charter School,"Boston, MA",42.3600825,-71.0588801,20580.39
Helen Y Davis Leadership Academy Charter Public School,"Boston, MA",42.3600825,-71.0588801,20169.34
UP Academy Charter School of Boston,"Boston, MA",42.3600825,-71.0588801,19943.38
Roxbury Preparatory Charter School,"Boston, MA",42.3600825,-71.0588801,19542.66
Cape Cod Lighthouse Charter School,"Harwich, MA",41.6716498,-70.0622231,19524.02
Libertas Academy Charter School,"Springfield, MA",42.1014831,-72.589811,19223.98
Christa McAuliffe Charter School,"Framingham, MA",42.279286,-71.4161565,19035.3
Four Rivers Charter Public School,"Greenfield, MA",42.587915,-72.5994104,18926.42
Dudley Street Neighborhood Charter School,"Boston, MA",42.3600825,-71.0588801,18912.03
Pioneer Valley Chinese Immersion Charter School,"Hadley, MA",42.3417565,-72.5884222,18832.87
Excel Academy Charter School,"Boston/Chelsea, MA",42.3917638,-71.0328284,18573.16
Francis W. Parker Charter Essential School,"Devens, MA",42.5455027,-71.6139348,18522.56
"Martin Luther King, Jr. Charter School of Excellence","Springfield, MA",42.1014831,-72.589811,18508.6
Boston Day and Evening Academy Charter School,"Boston, MA",42.3600825,-71.0588801,18361.86
Salem Academy Charter School,"Salem, MA",42.51954,-70.8967155,18245.93
Conservatory Lab Charter School,"Boston, MA",42.3600825,-71.0588801,18221.42
Pioneer Valley Performing Arts Charter Public School,"South Hadley, MA",42.2591729,-72.5747934,18113.29
Paulo Freire Social Justice Charter School,"Holyoke, MA",42.2042586,-72.6162009,18108.63
KIPP Academy Lynn Charter School,"Lynn, MA",42.466763,-70.9494938,18049.45
"Sizer School, A North Central Charter Essential School","Fitchburg, MA",42.5834228,-71.8022955,18022.16
"Phoenix Academy Charter Public High School, Lawrence","Lawrence, MA",42.7070354,-71.1631137,17947.05
KIPP Academy Boston Charter School,"Boston, MA",42.3600825,-71.0588801,17937.13
Berkshire Arts and Technology Charter Public School,"Adams, MA",42.6242251,-73.1174344,17913.95
